Belgium,Region,Year,Month,Number of bankruptcies
Belgium,Total,2004,Oct-04,729
Belgium,Total,2004,Nov-04,696
Belgium,Total,2004,Dec-04,641
Belgium,Total,2005,Jan-05,695
Belgium,Total,2005,Feb-05,638
Belgium,Total,2005,Mar-05,762
Belgium,Total,2005,Apr-05,635
Belgium,Total,2005,May-05,721
Belgium,Total,2005,Jun-05,854
Belgium,Total,2005,Jul-05,418
Belgium,Total,2005,Aug-05,367
Belgium,Total,2005,Sep-05,824
Belgium,Total,2005,Oct-05,687
Belgium,Total,2005,Nov-05,601
Belgium,Total,2005,Dec-05,676
Belgium,Total,2006,Jan-06,740
Belgium,Total,2006,Feb-06,691
Belgium,Total,2006,Mar-06,683
Belgium,Total,2006,Apr-06,594
Belgium,Total,2006,May-06,729
Belgium,Total,2006,Jun-06,731
Belgium,Total,2006,Jul-06,386
Belgium,Total,2006,Aug-06,331
Belgium,Total,2006,Sep-06,706
Belgium,Total,2006,Oct-06,715
Belgium,Total,2006,Nov-06,657
Belgium,Total,2006,Dec-06,653
Belgium,Total,2007,Jan-07,642
Belgium,Total,2007,Feb-07,643
Belgium,Total,2007,Mar-07,718
Belgium,Total,2007,Apr-07,654
Belgium,Total,2007,May-07,632
Belgium,Total,2007,Jun-07,731
Belgium,Total,2007,Jul-07,392
Belgium,Total,2007,Aug-07,344
Belgium,Total,2007,Sep-07,792
Belgium,Total,2007,Oct-07,854
Belgium,Total,2007,Nov-07,649
Belgium,Total,2007,Dec-07,629
Belgium,Total,2008,Jan-08,685
Belgium,Total,2008,Feb-08,617
Belgium,Total,2008,Mar-08,715
Belgium,Total,2008,Apr-08,715
Belgium,Total,2008,May-08,629
Belgium,Total,2008,Jun-08,916
Belgium,Total,2008,Jul-08,531
Belgium,Total,2008,Aug-08,357
Belgium,Total,2008,Sep-08,917
Belgium,Total,2008,Oct-08,828
Belgium,Total,2008,Nov-08,708
Belgium,Total,2008,Dec-08,858
Belgium,Total,2009,Jan-09,775
Belgium,Total,2009,Feb-09,785
Belgium,Total,2009,Mar-09,1006
Belgium,Total,2009,Apr-09,789
Belgium,Total,2009,May-09,734
Belgium,Total,2009,Jun-09,906
Belgium,Total,2009,Jul-09,532
Belgium,Total,2009,Aug-09,387
Belgium,Total,2009,Sep-09,991
Belgium,Total,2009,Oct-09,841
Belgium,Total,2009,Nov-09,892
Belgium,Total,2009,Dec-09,782
Belgium,Total,2010,Jan-10,811
Belgium,Total,2010,Feb-10,792
Belgium,Total,2010,Mar-10,978
Belgium,Total,2010,Apr-10,773
Belgium,Total,2010,May-10,796
Belgium,Total,2010,Jun-10,946
Belgium,Total,2010,Jul-10,594
Belgium,Total,2010,Aug-10,438
Belgium,Total,2010,Sep-10,1023
Belgium,Total,2010,Oct-10,868
Belgium,Total,2010,Nov-10,791
Belgium,Total,2010,Dec-10,760
Belgium,Total,2011,Jan-11,779
Belgium,Total,2011,Feb-11,852
Belgium,Total,2011,Mar-11,1001
Belgium,Total,2011,Apr-11,734
Belgium,Total,2011,May-11,996
Belgium,Total,2011,Jun-11,869
Belgium,Total,2011,Jul-11,599
Belgium,Total,2011,Aug-11,426
Belgium,Total,2011,Sep-11,1138
Belgium,Total,2011,Oct-11,1091
Belgium,Total,2011,Nov-11,830
Belgium,Total,2011,Dec-11,909
Belgium,Total,2012,Jan-12,779
Belgium,Total,2012,Feb-12,851
Belgium,Total,2012,Mar-12,966
Belgium,Total,2012,Apr-12,901
Belgium,Total,2012,May-12,863
Belgium,Total,2012,Jun-12,961
Belgium,Total,2012,Jul-12,596
Belgium,Total,2012,Aug-12,541
Belgium,Total,2012,Sep-12,1118
Belgium,Total,2012,Oct-12,1163
Belgium,Total,2012,Nov-12,919
Belgium,Total,2012,Dec-12,929
Belgium,Total,2013,Jan-13,1075
Belgium,Total,2013,Feb-13,894
Belgium,Total,2013,Mar-13,1065
Belgium,Total,2013,Apr-13,1028
Belgium,Total,2013,May-13,858
Belgium,Total,2013,Jun-13,994
Belgium,Total,2013,Jul-13,834
Belgium,Total,2013,Aug-13,500
Belgium,Total,2013,Sep-13,1322
Belgium,Total,2013,Oct-13,1242
Belgium,Total,2013,Nov-13,906
Belgium,Total,2013,Dec-13,1022
Belgium,Total,2014,Jan-14,1014
Belgium,Total,2014,Feb-14,931
Belgium,Total,2014,Mar-14,1045
Belgium,Total,2014,Apr-14,837
Belgium,Total,2014,May-14,863
Belgium,Total,2014,Jun-14,999
Belgium,Total,2014,Jul-14,605
Belgium,Total,2014,Aug-14,474
Belgium,Total,2014,Sep-14,1165
Belgium,Total,2014,Oct-14,1002
Belgium,Total,2014,Nov-14,785
Belgium,Total,2014,Dec-14,1016
Belgium,Total,2015,Jan-15,849
Belgium,Total,2015,Feb-15,845
Belgium,Total,2015,Mar-15,1134
Belgium,Total,2015,Apr-15,866
Belgium,Total,2015,May-15,796
Belgium,Total,2015,Jun-15,1065
Belgium,Total,2015,Jul-15,557
Belgium,Total,2015,Aug-15,338
Belgium,Total,2015,Sep-15,950
Belgium,Total,2015,Oct-15,791
Belgium,Total,2015,Nov-15,794
Belgium,Total,2015,Dec-15,777
Belgium,Total,2016,Jan-16,742
Belgium,Total,2016,Feb-16,814
Belgium,Total,2016,Mar-16,749
Belgium,Total,2016,Apr-16,771
Belgium,Total,2016,May-16,805
Belgium,Total,2016,Jun-16,917
Belgium,Total,2016,Jul-16,463
Belgium,Total,2016,Aug-16,404
Belgium,Total,2016,Sep-16,1088
Belgium,Total,2016,Oct-16,922
Belgium,Total,2016,Nov-16,808
Belgium,Total,2016,Dec-16,687
Belgium,Total,2017,Jan-17,806
Belgium,Total,2017,Feb-17,802
Belgium,Total,2017,Mar-17,930
Belgium,Total,2017,Apr-17,736
Belgium,Total,2017,May-17,965
Belgium,Total,2017,Jun-17,1017
Belgium,Total,2017,Jul-17,508
Belgium,Total,2017,Aug-17,376
Belgium,Total,2017,Sep-17,987
Belgium,Total,2017,Oct-17,1153
Belgium,Total,2017,Nov-17,881
Belgium,Total,2017,Dec-17,807
Belgium,Total,2018,Jan-18,910
Belgium,Total,2018,Feb-18,846
Belgium,Total,2018,Mar-18,951
Belgium,Total,2018,Apr-18,784
Belgium,Total,2018,May-18,603
Belgium,Total,2018,Jun-18,852
Belgium,Total,2018,Jul-18,689
Belgium,Total,2018,Aug-18,477
Belgium,Total,2018,Sep-18,897
Belgium,Total,2018,Oct-18,1125
Belgium,Total,2018,Nov-18,890
Belgium,Total,2018,Dec-18,854
Belgium,Total,2019,Jan-19,833
Belgium,Total,2019,Feb-19,909
Belgium,Total,2019,Mar-19,948
Belgium,Total,2019,Apr-19,934
Belgium,Total,2019,May-19,964
Belgium,Total,2019,Jun-19,1014
Belgium,Total,2019,Jul-19,755
Belgium,Total,2019,Aug-19,459
Belgium,Total,2019,Sep-19,1082
Belgium,Total,2019,Oct-19,930
Belgium,Total,2019,Nov-19,745
Belgium,Total,2019,Dec-19,1025
Belgium,Total,2020,Jan-20,930
Belgium,Total,2020,Feb-20,865
Belgium,Total,2020,Mar-20,869
Belgium,Total,2020,Apr-20,298
Belgium,Total,2020,May-20,270
Belgium,Total,2020,Jun-20,670
Belgium,Total,2020,Jul-20,484
Belgium,Total,2020,Aug-20,390
Belgium,Total,2020,Sep-20,729
Belgium,Total,2020,Oct-20,614
Belgium,Total,2020,Nov-20,595
Belgium,Total,2020,Dec-20,489
Belgium,Total,2021,Jan-21,445
Belgium,Total,2021,Feb-21,499
Belgium,Total,2021,Mar-21,605
Belgium,Total,2021,Apr-21,466
Belgium,Total,2021,May-21,486
Belgium,Total,2021,Jun-21,615
Belgium,Total,2021,Jul-21,428
Belgium,Total,2021,Aug-21,271
